Artist;Title;Decade;Themes;Final;Tab
Francis Cabrel;Petite Marie;70;Les prénoms,Petit ou grand ?;MC;https://tabs.ultimate-guitar.com/tab/francis-cabrel/petite-marie-chords-1477050
Fréro Delavega;Le Chant des Sirènes;2010;Les duos,Si on chantait ?,Génération The Voice;_;https://tabs.ultimate-guitar.com/tab/1743092
Fréro Delavega;Sweet Darling;2010;Titre en anglais,Les duos,Génération The Voice;_;https://tabs.ultimate-guitar.com/tab/1672645
Garou;Seul;2000;En 4 lettres,En 5 lettres,Prénoms originaux,Les Québecquois,En solitaire;MC;https://tabs.ultimate-guitar.com/tab/garou/seul-chords-2611857
Gilbert Montagné;Les Sunlight des Tropiques;80;Quel chaleur;MC;https://tabs.ultimate-guitar.com/tab/2255385
Grégoire;Toi + moi;2000;Prénom sans nom,C'est moi;MC;https://tabs.ultimate-guitar.com/tab/1445862
Helmut Fritz;Ça m'énerve;2000;Ça,Bipolaire;_;https://www.boiteachansons.net/Partitions/Helmut-Fritz/Ca-m-enerve.php
Images;Les Démons de Minuit;80;Démoniaque,Les groupes;MC;https://tabs.ultimate-guitar.com/tab/2259029
Isabelle Adjani;Pull Marine;80;Les Isabelles,Signé Gainsbourg,Dans ma garde-robe;MC;https://www.boiteachansons.net/Partitions/Isabelle-Adjani/Pull-Marine.php
Jacques Brel;Mathilde;60;Les prénoms,Les Belges;_;https://tabs.ultimate-guitar.com/tab/jacques-brel/mathilde-chords-62530
Jean-Jacques Goldman;Il suffira d'un signe;80;Un signe du temps,ça suffit !;MC;http://lecoinzic.info/jean-jacques-goldman/il-suffira-d-un-signe/
Jean-Jacques Goldman,Jean-Jacques Goldman et Sirima;Là-bas;80;Les duos,Où ?;MC;https://tabs.ultimate-guitar.com/tab/jean-jacques-goldman/la-bas-chords-373651
Jean-Jacques Goldman;Quand la musique est bonne;80;Rock,Quand ?;MC;https://tabs.ultimate-guitar.com/tab/jean-jacques-goldman/quand-la-musique-est-bonne-chords-69712
Jenifer;Des Mots qui Résonnent;2000;Génération Starac,Prénom sans nom,Lucifer,Rien que des mots;MC;http://users.sfr.be/COD08664/partition-jenifer-des-mots-qui-resonnent.html
Joe Dassin;Les Champs-Elysées;60;Voyage voyage;MC;https://tabs.ultimate-guitar.com/tab/joe-dassin/les-champs-elysees-chords-1077469
Joe Dassin;Siffler sur la colline;60;Siffler n'est pas jouer,À l'infinitif;MC;https://tabs.ultimate-guitar.com/tab/joe-dassin/siffler-sur-la-colline-chords-1735733
Johnny Hallyday;Allumer le feu;2000;Rock,Père et fils,À l'infinitif,Les pseudos,Quel chaleur;MC;https://tabs.ultimate-guitar.com/tab/johnny-hallyday/allumer-le-feu-chords-1679431
K-Maro;Femme like U;2000;Les rappeurs,K comme...,Vous les femmes;_;https://tabs.ultimate-guitar.com/tab/k-maro/femme-like-u-donne-moi-ton-corps-chords-2588862
Keen'V;J'aimerais trop;2010;K comme...,Conjugaison du verbe aimer,Les pseudos;_;https://www.boiteachansons.net/Partitions/Keen-V/J-aimerais-trop.php
Keen'V;Les mots;2010;K comme...,Les pseudos,Rien que des mots;_;https://www.boiteachansons.net/Partitions/Keen-V/Les-mots.php
Kendji Girac;Andalouse;2010;K comme...,Voyage voyage,Génération The Voice;MC;https://tabs.ultimate-guitar.com/tab/kendji-girac/andalouse-chords-2016033
Kendji Girac;Color Gitano;2010;K comme...,Titre espagnol,Génération The Voice;_;https://tabs.ultimate-guitar.com/tab/kendji-girac/color-gitano-chords-1749086
Kendji Girac;Cool;2010;K comme...,En 4 lettres,Génération The Voice,Bipolaire;_;https://www.boiteachansons.net/Partitions/Kendji-Girac/Cool.php
Kendji Girac;Les yeux de la mama;2010;K comme...,T'as de beaux yeux,Génération The Voice;MC;https://www.boiteachansons.net/Partitions/Kendji-Girac/Les-yeux-de-la-mama.php
Khaled;Aïcha;90;K comme...,Les prénoms;MC;https://tabs.ultimate-guitar.com/tab/1962471
Kyo;Le Graal;2010;Rock,Les groupes,En 3 lettres,K comme...;_;https://www.boiteachansons.net/Partitions/Kyo/Le-Graal.php
L5;Toutes les femmes de ta vie;2000;"Les groupes,Groupe de filles,Vous les femmes,Avec le mot ""vie""";MC;https://www.boiteachansons.net/Partitions/L5/Toutes-les-femmes-de-ta-vie.php
Le Grand Orchestre du Splendid;La salsa du démon;80;Démoniaque,Voulez-vous danser ?;MC;https://www.boiteachansons.net/Partitions/Le-Grand-orchestre-du-splendid/La-salsa-du-demon.php
Lara Fabian;Immortelle;2000;En 10 lettres,Superhéros,Les Belges;_;https://tabs.ultimate-guitar.com/tab/lara-fabian/immortelle-chords-2635782
Lara Fabian;Je t'aime;2000;Conjugaison du verbe aimer,Les Belges,Rupture difficile;MC;https://tabs.ultimate-guitar.com/tab/lara-fabian/je-taime-chords-1249218
Les 10 commandements,Les 10 commandements (Daniel Lévy);L'envie d'aimer;2000;Les comédies musicales,Aimer à l'infinitif,Dany Dan;MC;https://www.boiteachansons.net/Partitions/Daniel-Levi/L-envie-d-aimer.php
Laurent Voulzy;Rockcollection;70;Rock,Les groupes;MC;https://tabs.ultimate-guitar.com/tab/laurent-voulzy/rockcollection-chords-1407393
Louane;Avenir;2010;En 6 lettres,Prénom sans nom,Génération The Voice;MC;https://tabs.ultimate-guitar.com/tab/louane/avenir-chords-1748284
Louise Attaque;J't'emmène au vent;2000;Bulletin météo,Les groupes;_;https://tabs.ultimate-guitar.com/tab/782092
Maitre Gims;Bella;2010;Les rappeurs,Titre espagnol;MC;https://tabs.ultimate-guitar.com/tab/1399470
